Symphony No.5 in Cm, 1st movement
#inst,midi,duration,statt,end
flute,86,D6,36.5,116
flute,91,G6,36.5,116
flute,86,D6,37,116
flute,91,G6,37,116
flute,86,D6,37.5,116
flute,89,F6,37.5,116
flute,84,C6,38,231
flute,87,D#6,38,231
flute,84,C6,40,231
flute,83,B5,42,231
flute,91,G6,42,231
flute,80,G#5,45,116
flute,80,G#5,45.5,116
flute,80,G#5,46,116
flute,77,F5,46.5,1280
flute,84,C6,79.5,231
flute,84,C6,81.5,231
flute,84,C6,83.5,231
flute,84,C6,85.5,231
flute,83,B5,87.5,231
flute,86,D6,87.5,231
flute,84,C6,89.5,1997
flute,87,D#6,89.5,1997
flute,86,D6,97.5,1767
flute,89,F6,97.5,1767
flute,84,C6,104.5,231
flute,87,D#6,104.5,231
flute,84,C6,105.5,1997
flute,87,D#6,105.5,1997
flute,81,A5,113.5,231
flute,90,F#6,113.5,231
flute,82,A#5,117.5,231
flute,82,A#5,143.5,261
flute,87,D#6,144.5,261
flute,86,D6,145.5,261
flute,87,D#6,146.5,261
flute,89,F6,147.5,261
flute,84,C6,148.5,243
flute,84,C6,149.5,261
flute,82,A#5,150.5,243
flute,87,D#6,183.5,261
flute,89,F6,184.5,261
flute,90,F#6,185.5,261
flute,89,F6,186.5,261
flute,90,F#6,187.5,256
flute,90,F#6,188.5,243
flute,82,A#5,189.5,743
flute,89,F6,189.5,743
flute,82,A#5,192.5,231
flute,89,F6,192.5,231
flute,82,A#5,193.5,231
flute,91,G6,193.5,231
flute,82,A#5,195.5,231
flute,89,F6,195.5,231
flute,82,A#5,197.5,231
flute,87,D#6,197.5,231
flute,84,C6,199.5,231
flute,87,D#6,199.5,231
flute,82,A#5,201.5,231
flute,87,D#6,201.5,231
flute,82,A#5,203.5,231
flute,86,D6,203.5,231
flute,82,A#5,205.5,973
flute,89,F6,205.5,973
flute,82,A#5,209.5,231
flute,91,G6,209.5,231
flute,82,A#5,210.5,231
flute,91,G6,210.5,231
flute,82,A#5,212.5,231
flute,86,D6,212.5,231
flute,82,A#5,214.5,231
flute,87,D#6,214.5,231
flute,80,G#5,216.5,231
flute,87,D#6,216.5,231
flute,82,A#5,218.5,231
flute,87,D#6,218.5,231
flute,82,A#5,220.5,231
flute,86,D6,220.5,231
flute,82,A#5,221.5,116
flute,87,D#6,221.5,116
flute,91,G6,222,116
flute,91,G6,222.5,116
flute,91,G6,223,116
flute,87,D#6,223.5,116
flute,82,A#5,224,116
flute,82,A#5,224.5,116
flute,82,A#5,225,116
